YEAR,UBIGEO,NOMBDEP,NOMBPROB,NOMBDIST,YEAR,Región,Cluster,Def_ha,Coca_ha,Pobreza,Yuca_ha,Emp_estado,Emp_cientificos,Emp_tecnicos,Emp_oficinistas,Emp_servicios,Emp_agricultura,Emp_obreros_minasyenerg,Emp_obreros,Emp_nocalif_agric_indust,Emp_otros,tot_salieron,tot_ingresaron,pp,tmean,hum_suelo,IDH,Pbi_dist,Población,dens_pob,form_boscosa,area_agropec,Infraestructura,Minería,Río_lago_u_océano,Efic_gasto,Dist_ANP,Dist_cat_Min,Dist_comunid,Dist_conc_mad,Dist_ríos,Dist_vías
2001,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2002,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2003,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,29,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2004,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2005,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2006,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2007,0,0,0,0,0,0,0,0,394,27,394,44,28,32,28,30,27,29,31,27,35,27,27,0,0,394,25,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2008,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2009,0,0,0,0,0,0,0,0,394,26,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2010,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,24,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2011,0,0,0,0,0,0,0,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,24,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2012,0,0,0,0,0,0,0,0,261,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,24,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2013,0,0,0,0,0,0,0,0,261,12,72,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,394,394,394,394
2014,0,0,0,0,0,0,0,0,261,394,68,394,394,394,394,394,394,394,394,394,394,394,394,0,0,394,394,26,29,108,0,0,0,0,0,394,0,0,0,394,394,394
2015,0,0,0,0,0,0,0,0,261,0,70,394,394,394,394,394,394,394,394,394,394,394,394,0,0,0,4,26,29,108,0,0,0,0,0,24,0,0,394,394,394,394
2016,0,0,0,0,0,0,0,0,261,394,61,394,394,394,394,394,394,394,394,394,394,394,394,0,0,0,394,26,0,87,0,0,0,0,0,394,0,0,394,394,394,394
2017,0,0,0,0,0,0,0,0,261,394,61,46,0,7,0,2,0,2,8,0,106,0,0,0,0,0,0,26,2,88,0,0,0,0,0,2,0,0,394,0,394,394
2018,0,0,0,0,0,0,0,0,262,0,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,0,0,26,2,88,0,0,0,0,0,0,0,0,394,394,394,0
2019,0,0,0,0,0,0,0,0,262,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,0,0,394,2,88,0,0,0,0,0,0,0,0,394,394,0,394
2020,0,0,0,0,0,0,0,0,263,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,0,0,394,394,2,88,0,0,0,0,0,0,0,0,394,394,394,394
